code,itemNo,item,weight,tallyName,unit,notes
SFG-001-1000,001,AMRITSARI DAL MAKHANI,1000,AMRITSARI DAL MAKHANI 1KG SFG,NOS,
SFG-001-KIT,001,AMRITSARI DAL MAKHANI,KIT,AMRITSARI DAL MAKHANI - KIT,KG,
SFG-002-1000,002,BOILED CHANA,1000,BOILED CHANA 1KG -SFG,NOS,
SFG-002-350,002,BOILED CHANA,350,BOILED CHANA 350Gm SFG,NOS,
SFG-002-250,002,BOILED CHANA,250,BOILED CHANA 250GM SFG,NOS,
SFG-002-KIT,002,BOILED CHANA,KIT,Boiled Chana-KIT,KG,
SFG-003-1000,003,BOILED CHHOLE,1000,BOILED CHHOLE 1KG -SFG,NOS,
SFG-003-200,003,BOILED CHHOLE,200,BOILED CHHOLE 200Gm SFG,NOS,
SFG-003-KIT,003,BOILED CHHOLE,KIT,Boiled Chhole-KIT,KG,
SFG-004-250,004,BOILED KABULI CHANA,250,BOILED KABULI CHANA 250GM - SFG,NOS,
SFG-005-1000,005,BOILED RAJMA,1000,BOILED RAJMA 1KG -SFG,NOS,
SFG-005-350,005,BOILED RAJMA,350,BOILED RAJMA SFG 350GM,NOS,
SFG-005-250,005,BOILED RAJMA,250,BOILED RAJMA 250GM SFG,NOS,
SFG-005-KIT,005,BOILED RAJMA,KIT,Boiled Rajma-KIT,KG,
SFG-006-1000,006,BOILED TOOR DAL,1000,BOILED TOOR DAL 1KG -SFG,KG,
SFG-006-350,006,BOILED TOOR DAL,350,BOILED TOOR DAL 350Gm SFG,NOS,
SFG-006-250,006,BOILED TOOR DAL,250,BOILED TOOR DAL 250GM SFG,NOS,
SFG-006-200,006,BOILED TOOR DAL,200,BOILED TOOR DAL 200Gm SFG,NOS,
SFG-006-KIT,006,BOILED TOOR DAL,KIT,BOILED TOOR DAL KIT,KG,
SFG-007-1000,007,CASHEW PASTE,1000,CASHEW PASTE 1KG -SFG,KG,
SFG-007-250,007,CASHEW PASTE,250,CASHEW PASTE 250GM SFG,NOS,
SFG-007-KIT,007,CASHEW PASTE,KIT,Cashew Paste KIT,KG,
SFG-008-1000,008,CONC DAL MAKHANI,1000,CONC DAL MAKHANI 1KG -SFG,NOS,
SFG-008-350,008,CONC DAL MAKHANI,350,Conc Dal Makhani 350gm Sfg,NOS,
SFG-008-250,008,CONC DAL MAKHANI,250,CONC DAL MAKHNAI 250GM - SFG,NOS,"Tally spelling ""CONC DAL MAKHNAI"""
SFG-008-200,008,CONC DAL MAKHANI,200,DAL MAKHANI CONC 200Gm SFG,NOS,"Tally spelling ""DAL MAKHANI CONC"""
SFG-008-KIT,008,CONC DAL MAKHANI,KIT,Conc Dal Makhani-KIT,KG,
SFG-009-KIT,009,CONCENTRATED CHOPP MASALA,KIT,CONCENTRATED CHOPP MASALA - KIT,KG,
SFG-010-1000,010,DAL BIRYANI,1000,DAL BRIYANI SFG 1KG,NOS,"Tally spelling ""DAL BRIYANI"""
SFG-011-1000,011,DAL MAKHANI,1000,DAL MAKHANI 1KG -SFG,NOS,
SFG-011-KIT,011,DAL MAKHANI,KIT,DAL MAKHANI - KIT,KG,
SFG-012-1000,012,DAL MAKHANI JAIN,1000,DAL MAKHANI JAIN 1KG SFG,NOS,
SFG-012-350,012,DAL MAKHANI JAIN,350,DAL MAKANI JAIN SFG -350GM,NOS,"Tally spelling ""DAL MAKANI JAIN"""
SFG-012-KIT,012,DAL MAKHANI JAIN,KIT,DAL MAKHANI JAIN KIT,KG,
SFG-013-1000,013,DAL TADKA,1000,DAL TADKA SFG 1KG,NOS,
SFG-013-KIT,013,DAL TADKA,KIT,DAL TADKA - KIT,NOS,
SFG-014-1000,014,GARLIC PASTE,1000,GARLIC PASTE 1KG -SFG,NOS,
SFG-014-250,014,GARLIC PASTE,250,GARLIC PASTE 250GM - SFG,NOS,
SFG-014-200,014,GARLIC PASTE,200,GARLIC PASTE 200Gm SFG,NOS,
SFG-014-KIT,014,GARLIC PASTE,KIT,Garlic Paste-KIT,KG,
SFG-015-1000,015,GINGER GARLIC PASTE,1000,GINGER GARLIC PASTE 1KG -SFG,NOS,
SFG-015-350,015,GINGER GARLIC PASTE,350,GINGER GARLIC PASTE 350Gm SFG,NOS,
SFG-015-250,015,GINGER GARLIC PASTE,250,GINGER GARLIC PASTE 250GM - SFG,NOS,
SFG-015-200,015,GINGER GARLIC PASTE,200,GINGER GARLIC PASTE 200Gm SFG,NOS,
SFG-016-1000,016,GINGER PASTE,1000,GINGER PASTE 1KG SFG,NOS,
SFG-016-250,016,GINGER PASTE,250,GINGER PASTE 250GMN - SFG,NOS,"pack written ""250GMN"" in Tally, read as 250 GM"
SFG-016-200,016,GINGER PASTE,200,GINGER PASTE 200Gm SFG,NOS,
SFG-016-KIT,016,GINGER PASTE,KIT,GINGER PASTE KIT,KG,
SFG-017-1000,017,KADHAI GRAVY,1000,KADHAI GRAVY 1KG -SFG,KG,
SFG-017-350,017,KADHAI GRAVY,350,KADHAI GRAVY 350Gm SFG,NOS,
SFG-017-250,017,KADHAI GRAVY,250,KADHAI GRAVY 250GM - SFG,NOS,
SFG-017-200,017,KADHAI GRAVY,200,KADHAI GRAVY 200Gm SFG,NOS,
SFG-017-KIT,017,KADHAI GRAVY,KIT,KADHAI GRAVY KIT,KG,
SFG-018-1000,018,MAKHANI GRAVY,1000,MAKHANI GRAVY 1KG -SFG,NOS,
SFG-018-350,018,MAKHANI GRAVY,350,MAKHNI GRAVY 350Gm SFG,NOS,"Tally spelling ""MAKHNI GRAVY"""
SFG-018-250,018,MAKHANI GRAVY,250,MAKHANI GRAVY 250GM - SFG,NOS,
SFG-018-200,018,MAKHANI GRAVY,200,MAKHANI GRAVY 200Gm SFG,NOS,
SFG-018-KIT,018,MAKHANI GRAVY,KIT,Makhani Gravy-KIT,KG,
SFG-019-1000,019,MALABAR GRAVY,1000,MALABAR GRAVY 1KG -SFG,NOS,
SFG-019-250,019,MALABAR GRAVY,250,MALABHAR GRAVY 250GM - SFG,NOS,"Tally spelling ""MALABHAR GRAVY"""
SFG-019-200,019,MALABAR GRAVY,200,MALABAR GRAVY 200Gm SFG,NOS,
SFG-019-KIT,019,MALABAR GRAVY,KIT,Malabhari Gravy-KIT,KG,"Tally spelling ""MALABHARI GRAVY"""
SFG-020-1000,020,NOORANI GRAVY,1000,NOORANI GRAVY SFG 1KG,KG,
SFG-020-200,020,NOORANI GRAVY,200,NOORANI GRAVY 200Gm SFG,NOS,
SFG-020-KIT,020,NOORANI GRAVY,KIT,NOORANI GRAVY KIT,KG,
